year,round,total_points,tele_points,jury_points,from_country_name,to_country_name,capital_distance_km,border_distance_km
1958,final,0,NA,NA,Italy,Austria,763.8150371626128,0
1958,final,0,NA,NA,Italy,Germany,1064.974910862422,47.7648856717172
1958,final,0,NA,NA,Italy,Denmark,1531.9424277221522,830.9265061924998
1958,final,0,NA,NA,Italy,Netherlands,1293.6803965474564,508.89146910518843
1958,final,0,NA,NA,Italy,Luxembourg,988.2353548720822,366.03139893315483
1958,final,1,NA,NA,Luxembourg,France,287.77922020582156,0
1958,final,5,NA,NA,Luxembourg,Switzerland,315.56848554177606,222.40914743659204
1958,final,0,NA,NA,Luxembourg,Italy,988.2353548720822,366.03139893315483
1958,final,3,NA,NA,Luxembourg,Sweden,1324.5458565381878,744.7887608433722
1958,final,0,NA,NA,Luxembourg,Belgium,186.51376036456966,0
1958,final,1,NA,NA,Luxembourg,Austria,763.8253604909239,318.5963322868109
1958,final,0,NA,NA,Luxembourg,Germany,142.57359424078226,0
1958,final,0,NA,NA,Luxembourg,Denmark,801.411638451927,554.3479871739744
1958,final,0,NA,NA,Luxembourg,Netherlands,316.102233114404,64.02060114573247
1958,final,0,NA,NA,Luxembourg,Luxembourg,0,0
1958,final,0,NA,NA,Netherlands,France,428.01602517217225,54.84756219900045
1958,final,6,NA,NA,Netherlands,Switzerland,631.3490883249832,368.73166239061516
1958,final,1,NA,NA,Netherlands,Italy,1293.6803965474564,508.89146910518843
1958,final,2,NA,NA,Netherlands,Sweden,1127.1789146493159,444.5676018091501
1958,final,0,NA,NA,Netherlands,Belgium,173.39231340070373,0
1958,final,0,NA,NA,Netherlands,Austria,933.914331450546,441.60828355554906
1958,final,0,NA,NA,Netherlands,Germany,234.74312774541883,0
1958,final,1,NA,NA,Netherlands,Denmark,621.2874448283054,201.91734551894137
1958,final,0,NA,NA,Netherlands,Netherlands,0,0
1958,final,0,NA,NA,Netherlands,Luxembourg,316.102233114404,64.02060114573247
1958,final,1,NA,NA,Sweden,France,1544.4681782377525,784.9810722844456
1958,final,4,NA,NA,Sweden,Switzerland,1547.8418862358658,896.2318451707265
1958,final,1,NA,NA,Sweden,Italy,1977.2570807005616,920.2210624469453
1958,final,0,NA,NA,Sweden,Sweden,0,0
1958,final,1,NA,NA,Sweden,Belgium,1283.3332757001806,668.7809019342449
1958,final,1,NA,NA,Sweden,Austria,1243.6712844751428,709.8110736443565
1958,final,1,NA,NA,Sweden,Germany,1182.0837382331977,166.91725521810955
1958,final,1,NA,NA,Sweden,Denmark,523.2095091435413,4.6600094472999585
1958,final,0,NA,NA,Sweden,Netherlands,1127.1789146493159,444.5676018091501
1958,final,0,NA,NA,Sweden,Luxembourg,1324.5458565381878,744.7887608433722
1958,final,1,NA,NA,Switzerland,France,439.7573597380393,0
1958,final,0,NA,NA,Switzerland,Switzerland,0,0
1958,final,1,NA,NA,Switzerland,Italy,685.2220891056155,0
1958,final,3,NA,NA,Switzerland,Sweden,1547.8418862358658,896.2318451707265
1958,final,1,NA,NA,Switzerland,Belgium,492.0101568234278,243.314987713352
1958,final,2,NA,NA,Switzerland,Austria,682.5004693901498,0
1958,final,0,NA,NA,Switzerland,Germany,425.24037955517537,0
1958,final,0,NA,NA,Switzerland,Denmark,1035.9465500135414,780.4749220477622
1958,final,1,NA,NA,Switzerland,Netherlands,631.3490883249832,368.73166239061516
1958,final,1,NA,NA,Switzerland,Luxembourg,315.56848554177606,222.40914743659204
1959,final,3,NA,NA,Austria,Netherlands,933.914331450546,441.60828355554906
1959,final,2,NA,NA,Austria,United Kingdom,1234.3769273954856,715.5518868059814
1959,final,1,NA,NA,Austria,France,1034.4754078707626,148.37584260404788
1959,final,1,NA,NA,Austria,Switzerland,682.5004693901498,0
1959,final,2,NA,NA,Austria,Denmark,870.915436479947,651.4932816384953
1959,final,0,NA,NA,Austria,Italy,763.8150371626128,0
1959,final,0,NA,NA,Austria,Belgium,915.4715325155743,354.33746415328346
1959,final,0,NA,NA,Austria,Germany,725.84305208041,0
1959,final,0,NA,NA,Austria,Sweden,1243.6712844751428,709.8110736443565
1959,final,0,NA,NA,Austria,Austria,0,0
1959,final,1,NA,NA,Austria,Monaco,NA,402.03056968095893
1959,final,3,NA,NA,Belgium,Netherlands,173.39231340070373,0
1959,final,2,NA,NA,Belgium,United Kingdom,318.9562193536296,80.24777008581204
1959,final,2,NA,NA,Belgium,France,261.48260690909154,0
1959,final,1,NA,NA,Belgium,Switzerland,492.0101568234278,243.314987713352
1959,final,0,NA,NA,Belgium,Denmark,767.2078770327018,450.36330405006447
1959,final,1,NA,NA,Belgium,Italy,1172.1882015457436,392.32603597943205
1959,final,0,NA,NA,Belgium,Belgium,0,0
1959,final,1,NA,NA,Belgium,Germany,194.81285183449728,0
1959,final,0,NA,NA,Belgium,Sweden,1283.3332757001806,668.7809019342449
1959,final,0,NA,NA,Belgium,Austria,915.4715325155743,354.33746415328346
1959,final,0,NA,NA,Belgium,Monaco,NA,654.2909569919201
1959,final,0,NA,NA,Denmark,Netherlands,621.2874448283054,201.91734551894137
1959,final,1,NA,NA,Denmark,United Kingdom,955.3462648445892,514.7014898114614
1959,final,4,NA,NA,Denmark,France,1026.684677433644,587.0492715459067
1959,final,2,NA,NA,Denmark,Switzerland,1035.9465500135414,780.4749220477622
1959,final,0,NA,NA,Denmark,Denmark,0,0
1959,final,0,NA,NA,Denmark,Italy,1531.9424277221522,830.9265061924998
1959,final,2,NA,NA,Denmark,Belgium,767.2078770327018,450.36330405006447
1959,final,0,NA,NA,Denmark,Germany,658.9095683669849,0
1959,final,1,NA,NA,Denmark,Sweden,523.2095091435413,4.6600094472999585
1959,final,0,NA,NA,Denmark,Austria,870.915436479947,651.4932816384953
1959,final,0,NA,NA,Denmark,Monaco,NA,1235.732631449818
1959,final,4,NA,NA,France,Netherlands,428.01602517217225,54.84756219900045
1959,final,1,NA,NA,France,United Kingdom,340.7932919518243,33.164848951846
1959,final,0,NA,NA,France,France,0,0
1959,final,0,NA,NA,France,Switzerland,439.7573597380393,0
1959,final,0,NA,NA,France,Denmark,1026.684677433644,587.0492715459067
1959,final,3,NA,NA,France,Italy,1106.5627294250526,0
1959,final,0,NA,NA,France,Belgium,261.48260690909154,0
1959,final,2,NA,NA,France,Germany,400.03803650486225,0
1959,final,0,NA,NA,France,Sweden,1544.4681782377525,784.9810722844456
1959,final,0,NA,NA,France,Austria,1034.4754078707626,148.37584260404788
1959,final,0,NA,NA,France,Monaco,NA,0
1959,final,2,NA,NA,Germany,Netherlands,234.74312774541883,0
1959,final,0,NA,NA,Germany,United Kingdom,510.67526757183117,296.78698643634556
1959,final,4,NA,NA,Germany,France,400.03803650486225,0
1959,final,1,NA,NA,Germany,Switzerland,425.24037955517537,0
1959,final,0,NA,NA,Germany,Denmark,658.9095683669849,0
1959,final,0,NA,NA,Germany,Italy,1064.974910862422,47.7648856717172
1959,final,3,NA,NA,Germany,Belgium,194.81285183449728,0
1959,final,0,NA,NA,Germany,Germany,0,0
1959,final,0,NA,NA,Germany,Sweden,1182.0837382331977,166.91725521810955
1959,final,0,NA,NA,Germany,Austria,725.84305208041,0
1959,final,0,NA,NA,Germany,Monaco,NA,421.2224977619864
1959,final,7,NA,NA,Italy,Netherlands,1293.6803965474564,508.89146910518843
1959,final,0,NA,NA,Italy,United Kingdom,1432.2462150996153,712.3910116443652
1959,final,1,NA,NA,Italy,France,1106.5627294250526,0
1959,final,0,NA,NA,Italy,Switzerland,685.2220891056155,0
